Time,V(OUTPUT)
7.695594127167e-008,-5.570331960012e+000
7.696354028181e-008,-4.742468371292e+000
7.697118731326e-008,-3.806570403776e+000
7.697758288000e-008,-2.993740624980e+000
7.698479699198e-008,-2.050485466257e+000
7.699280054535e-008,-9.456803806428e-001
7.699881121394e-008,-5.670278142343e-002
7.700445080868e-008,8.301574498328e-001
7.701057207182e-008,1.842768062191e+000
7.701494055678e-008,2.577444072789e+000
7.702002208557e-008,3.424209224231e+000
7.702485986979e-008,4.188834222362e+000
7.702823627792e-008,4.690454801979e+000
7.703267825004e-008,5.300198335553e+000
7.703731812822e-008,5.870211815647e+000
7.704150180384e-008,6.317771143006e+000
7.704594377597e-008,6.720167491101e+000
7.705188314017e-008,7.136640591670e+000
7.705899029556e-008,7.451248265843e+000
7.706304300396e-008,7.547864207575e+000
7.706697129347e-008,7.588226565059e+000
7.707332320447e-008,7.554187981027e+000
7.707665595685e-008,7.486174558415e+000
7.707867830927e-008,7.427210976614e+000
7.708202306699e-008,7.296968197667e+000
7.708535400038e-008,7.123412381480e+000
7.709087717981e-008,6.723153850064e+000
7.709640472481e-008,6.176704203274e+000
7.710175473644e-008,5.512605586539e+000
7.710656341683e-008,4.816661020221e+000
7.711221247032e-008,3.900345328591e+000
7.711296598668e-008,3.771720941687e+000
7.711447301940e-008,3.511370654798e+000
7.711748708484e-008,2.980735790359e+000
7.712177844464e-008,2.213798995127e+000
7.712632519056e-008,1.397045945386e+000
7.712925594629e-008,8.772175023691e-001
7.713260288679e-008,2.936040805223e-001
7.713576392657e-008,-2.427469606630e-001
7.713962018411e-008,-8.752821947051e-001
7.714348881077e-008,-1.483169241921e+000
7.714758517491e-008,-2.097748867530e+000
7.715400184193e-008,-3.002662891863e+000
7.715999359302e-008,-3.786164155132e+000
7.716486266386e-008,-4.380928364254e+000
7.716999366917e-008,-4.966110387504e+000
7.717205676695e-008,-5.188678646911e+000
7.717618296251e-008,-5.609723156892e+000
7.717870808360e-008,-5.849581027107e+000
7.718130196249e-008,-6.080685955878e+000
7.718629326942e-008,-6.473477482238e+000
7.718987267676e-008,-6.707230959581e+000
7.719576547484e-008,-6.994716614297e+000
7.720158260295e-008,-7.154398656024e+000
7.720918743385e-008,-7.172145528645e+000
7.721505985924e-008,-7.044434507955e+000
7.721984743935e-008,-6.852241126756e+000
7.722490714027e-008,-6.565708689733e+000
7.723188478362e-008,-6.037216795125e+000
7.723886024419e-008,-5.365777340700e+000
7.724279944764e-008,-4.935315792016e+000
7.725040427854e-008,-4.036545564012e+000
7.725747359896e-008,-3.147245050682e+000
7.726593408247e-008,-2.046697078952e+000
7.727336720077e-008,-1.021676642176e+000
7.727911375209e-008,-1.742225866519e-001
7.728448486400e-008,6.680403375688e-001
7.728944415671e-008,1.485167147326e+000
7.729502190582e-008,2.430384953709e+000
7.730011289336e-008,3.283540169928e+000
7.730405136922e-008,3.913839834234e+000
7.730858792879e-008,4.596958640530e+000
7.731293676866e-008,5.194960849380e+000
7.731610472060e-008,5.593105589936e+000
7.731805031167e-008,5.821181210224e+000
7.732113313491e-008,6.155249012418e+000
7.732436038591e-008,6.467147018892e+000
7.733061698186e-008,6.955564147462e+000
7.733711150163e-008,7.297336056397e+000
7.734098667666e-008,7.426575656282e+000
7.734470760138e-008,7.502217932572e+000
7.734898659205e-008,7.539247361482e+000
7.735311569800e-008,7.525468324039e+000
7.735532213215e-008,7.497690139453e+000
7.735649028714e-008,7.476994156175e+000
7.735720269434e-008,7.462250974266e+000
7.735841632407e-008,7.433200407334e+000
7.735963104519e-008,7.398962143905e+000
7.736195171187e-008,7.317777999925e+000
7.736452158010e-008,7.201605404304e+000
7.736912507849e-008,6.915724724832e+000
7.737364053778e-008,6.534459085331e+000
7.737953624624e-008,5.887488735601e+000
7.738385016151e-008,5.316068480922e+000
7.738932968519e-008,4.486959200759e+000
7.739495109004e-008,3.549262851750e+000
7.739564003227e-008,3.429672162522e+000
7.739701791675e-008,3.188565448288e+000
7.739977368569e-008,2.700561416833e+000
7.740288706796e-008,2.145405102467e+000
7.740594769953e-008,1.599459415711e+000
7.740964388600e-008,9.495713261354e-001
7.741408876850e-008,1.879459771544e-001
7.741752192910e-008,-3.797936389390e-001
7.742178927824e-008,-1.058999800768e+000
7.742673692942e-008,-1.808844886787e+000
7.743125893708e-008,-2.460550499572e+000
7.743531091787e-008,-3.018791812855e+000
7.743991514385e-008,-3.624101291896e+000
7.744427708044e-008,-4.169062392027e+000
7.744525769763e-008,-4.287740825017e+000
7.744721893200e-008,-4.520738278647e+000
7.744770924060e-008,-4.578075702621e+000
7.744868985778e-008,-4.691627583105e+000
7.745065109216e-008,-4.914124958358e+000
7.745114140075e-008,-4.968774955222e+000
7.745212201794e-008,-5.076855696254e+000
7.745408325232e-008,-5.287926012819e+000
7.745679136374e-008,-5.567312562843e+000
7.745943035357e-008,-5.825104045826e+000
7.746295300845e-008,-6.143291455020e+000
7.746617334729e-008,-6.404613466782e+000
7.746920742161e-008,-6.620905777040e+000
7.746968481538e-008,-6.652260964830e+000
7.747063960292e-008,-6.712575513960e+000
7.747254917799e-008,-6.823315955694e+000
7.747636832815e-008,-7.003961194114e+000
7.748133780720e-008,-7.155389360333e+000
7.748875055281e-008,-7.208484678791e+000
7.749423298688e-008,-7.121462953097e+000
7.749898200441e-008,-6.962115020803e+000
7.750344143883e-008,-6.742505941706e+000
7.750985228509e-008,-6.310694496292e+000
7.751702856208e-008,-5.671565854066e+000
7.752147053420e-008,-5.205141976628e+000
7.752748702356e-008,-4.510674148443e+000
7.753387094877e-008,-3.724401259485e+000
7.754091625852e-008,-2.821046875995e+000
7.755106767459e-008,-1.448897980415e+000
7.755703395983e-008,-5.812489295925e-001
7.756264008517e-008,2.871894563860e-001
7.756783366372e-008,1.137410368940e+000
7.757154221931e-008,1.763588024367e+000
7.757659391668e-008,2.620603864580e+000
7.758175184304e-008,3.474044139253e+000
7.758575798530e-008,4.106791208534e+000
7.759002606204e-008,4.738882552673e+000
7.759454952488e-008,5.353395911585e+000
7.759731802676e-008,5.696258111165e+000
7.760101130284e-008,6.112374393040e+000
7.760433932585e-008,6.444350612037e+000
7.760872745589e-008,6.816151193647e+000
7.761477377667e-008,7.202370736405e+000
7.761857691971e-008,7.372830495487e+000
7.762247028463e-008,7.493715598878e+000
7.762617156427e-008,7.561571341651e+000
7.763228191348e-008,7.584419940699e+000
7.763443559693e-008,7.566399608680e+000
7.763682611280e-008,7.529588475617e+000
7.763890594529e-008,7.482158923660e+000
7.764141942485e-008,7.404277709906e+000
7.764385323267e-008,7.304999605282e+000
7.764820425532e-008,7.061655992582e+000
7.765377181809e-008,6.616987447388e+000
7.765959986014e-008,5.988172260895e+000
7.766412623337e-008,5.394682756913e+000
7.766895019327e-008,4.672308642440e+000
7.767419834149e-008,3.812432763361e+000
7.767490720166e-008,3.690811115254e+000
7.767632492201e-008,3.444849026063e+000
7.767916036269e-008,2.944748693902e+000
7.768240107421e-008,2.366451682103e+000
7.768606160848e-008,1.710488676944e+000
7.769104418426e-008,8.300450607324e-001
7.769562803756e-008,4.409501806454e-002
7.769946610520e-008,-5.901730948729e-001
7.770366287755e-008,-1.257309204801e+000
7.770845118526e-008,-1.984251849455e+000
7.771574023959e-008,-3.021690687049e+000
7.772041795274e-008,-3.644333086238e+000
7.772494068800e-008,-4.214325319603e+000
7.773159455123e-008,-4.991693993114e+000
7.773725742905e-008,-5.588278424483e+000
7.774175178806e-008,-6.012149044786e+000
7.774670817039e-008,-6.421121368966e+000
7.775132331031e-008,-6.733776525782e+000
7.775685667607e-008,-7.013577548632e+000
7.775971831020e-008,-7.113523514548e+000
7.776420830364e-008,-7.207493271782e+000
7.777065989526e-008,-7.209592919108e+000
7.777605065226e-008,-7.096029968981e+000
7.778130825923e-008,-6.887997873720e+000
7.778615768498e-008,-6.612878581503e+000
7.779160446685e-008,-6.213118962255e+000
7.779795783304e-008,-5.634849540779e+000
7.780330202391e-008,-5.067993715030e+000
