Freq.	S11(v1)	S21(v1)	S12(v1)	S22(v1)
1.98498498498498e+09	(-2.11021615889946e-01dB,1.55101508200564e+02°)	(-1.32407688029776e+01dB,1.56568662515790e+02°)	(-1.32407688029776e+01dB,1.56568662515790e+02°)	(-2.10979250145401e-01dB,-2.19629108858241e+01°)
1.98898898898899e+09	(-2.13484289461604e-01dB,1.55011114814783e+02°)	(-1.31915901651303e+01dB,1.56481228603542e+02°)	(-1.31915901651303e+01dB,1.56481228603542e+02°)	(-2.13441878227671e-01dB,-2.20473855436285e+01°)
1.99299299299299e+09	(-2.15974766384973e-01dB,1.54920354949546e+02°)	(-1.31424441418889e+01dB,1.56393428196603e+02°)	(-1.31424441418889e+01dB,1.56393428196603e+02°)	(-2.15932309394363e-01dB,-2.21322266967051e+01°)
1.99699699699700e+09	(-2.18493370991711e-01dB,1.54829226187278e+02°)	(-1.30933304571989e+01dB,1.56305258877380e+02°)	(-1.30933304571989e+01dB,1.56305258877380e+02°)	(-2.18450867975066e-01dB,-2.22174367626460e+01°)
2.00100100100100e+09	(-2.21040431724152e-01dB,1.54737726093230e+02°)	(-1.30442488382029e+01dB,1.56216718211104e+02°)	(-1.30442488382029e+01dB,1.56216718211104e+02°)	(-2.20997882409991e-01dB,-2.23030181762174e+01°)
2.00500500500500e+09	(-2.23616281192197e-01dB,1.54645852215370e+02°)	(-1.29951990152558e+01dB,1.56127803745724e+02°)	(-1.29951990152558e+01dB,1.56127803745724e+02°)	(-2.23573685306932e-01dB,-2.23889733894694e+01°)
2.00900900900901e+09	(-2.26221256231065e-01dB,1.54553602084269e+02°)	(-1.29461807219411e+01dB,1.56038513011794e+02°)	(-1.29461807219411e+01dB,1.56038513011794e+02°)	(-2.26178613498946e-01dB,-2.24753048718459e+01°)
2.01301301301301e+09	(-2.28855697959868e-01dB,1.54460973212997e+02°)	(-1.28971936950879e+01dB,1.55948843522362e+02°)	(-1.28971936950879e+01dB,1.55948843522362e+02°)	(-2.28813008102979e-01dB,-2.25620151102943e+01°)
2.01701701701702e+09	(-2.31519951841079e-01dB,1.54367963097012e+02°)	(-1.28482376747880e+01dB,1.55858792772864e+02°)	(-1.28482376747880e+01dB,1.55858792772864e+02°)	(-2.31477214579305e-01dB,-2.26491066093747e+01°)
2.02102102102102e+09	(-2.34214367740855e-01dB,1.54274569214045e+02°)	(-1.27993124044139e+01dB,1.55768358241014e+02°)	(-1.27993124044139e+01dB,1.55768358241014e+02°)	(-2.34171582791856e-01dB,-2.27365818913698e+01°)
2.02502502502502e+09	(-2.36939299990256e-01dB,1.54180789023999e+02°)	(-1.27504176306379e+01dB,1.55677537386692e+02°)	(-1.27504176306379e+01dB,1.55677537386692e+02°)	(-2.36896467069453e-01dB,-2.28244434963940e+01°)
2.02902902902903e+09	(-2.39695107447386e-01dB,1.54086619968834e+02°)	(-1.27015531034508e+01dB,1.55586327651837e+02°)	(-1.27015531034508e+01dB,1.55586327651837e+02°)	(-2.39652226267932e-01dB,-2.29126939825025e+01°)
2.03303303303303e+09	(-2.42482153560422e-01dB,1.53992059472461e+02°)	(-1.26527185761821e+01dB,1.55494726460338e+02°)	(-1.26527185761821e+01dB,1.55494726460338e+02°)	(-2.42439223833168e-01dB,-2.30013359258004e+01°)
2.03703703703704e+09	(-2.45300806431598e-01dB,1.53897104940631e+02°)	(-1.26039138055205e+01dB,1.55402731217923e+02°)	(-1.26039138055205e+01dB,1.55402731217923e+02°)	(-2.45257827865084e-01dB,-2.30903719205510e+01°)
2.04104104104104e+09	(-2.48151438882131e-01dB,1.53801753760830e+02°)	(-1.25551385515349e+01dB,1.55310339312056e+02°)	(-1.25551385515349e+01dB,1.55310339312056e+02°)	(-2.48108411182544e-01dB,-2.31798045792849e+01°)
